Number,Title,Date,Audio,Pages,Words
0,New Spring,2004-01-06,12h 31m,334,122150
1,The Eye of the World,1990-01-15,29h 32m,782,305902
2,The Great Hunt,1990-11-15,26h 08m,681,267078
3,The Dragon Reborn,1991-10-15,24h 31m,675,251392
4,The Shadow Rising,1992-09-15,40h 31m,981,393823
5,The Fires of Heaven,1993-10-15,36h 34m,963,354109
6,Lord of Chaos,1994-10-15,41h 37m,987,389823
7,A Crown of Swords,1996-05-15,30h 31m,856,295028
8,The Path of Daggers,1998-10-20,23h 31m,672,226687
9,Winter's Heart,2000-11-07,24h 18m,766,238789
10,Crossroads of Twilight,2003-01-07,26h 03m,822,271632
11,Knife of Dreams,2005-10-11,32h 24m,837,315163
12,The Gathering Storm,2009-10-27,33h 02m,766,297502
13,Towers of Midnight,2010-11-02,38h 17m,864,327052
14,A Memory of Light,2013-01-08,41h 55m,912,353906