Book Id,Title,Author,ISBN,ISBN13,My Rating,Average Rating,Publisher,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Read Count,Series
12432220,"The False Prince (Ascendance, #1)",Jennifer A. Nielsen,0545284139,9780545284134.0,5,4.22,"Scholastic, Inc.",342,2012.0,2012.0,2022-12-22,2022-12-21,read,1,Ascendance
28588345,"The Midnight Star (The Young Elites, #3)",Marie Lu,0399167854,9780399167850.0,4,4.12,G.P. Putnam's Sons Books for Young Readers,316,2016.0,2016.0,2022-12-21,2021-04-18,read,1,The Young Elites
53023305,"Amari and the Great Game (Supernatural Investigations, #2)",B.B. Alston,,,5,4.41,Balzer + Bray,400,2022.0,2022.0,2022-12-19,2022-12-16,read,1,Supernatural Investigations
23846013,"The Rose Society (The Young Elites, #2)",Marie Lu,0399167846,9780399167843.0,5,4.04,G.P. Putnam's Sons Books for Young Readers,398,2015.0,2015.0,2022-12-18,2021-04-18,read,1,The Young Elites
20821111,"The Young Elites (The Young Elites, #1)",Marie Lu,0399167838,9780399167836.0,4,3.88,G.P. Putnam’s Sons Books for Young Readers,355,2014.0,2014.0,2022-12-17,2021-04-18,"try_it_later, read",1,The Young Elites
53240817,"Amari and the Night Brothers (Supernatural Investigations, #1)",B.B. Alston,,,4,4.43,Balzer + Bray,416,2021.0,2021.0,2022-12-16,2022-12-16,read,1,Supernatural Investigations
23106013,"Battle Ground (The Dresden Files, #17)",Jim Butcher,0593199308,9780593199305.0,5,4.41,Ace,418,2020.0,2020.0,2022-12-16,2022-08-02,read,1,The Dresden Files
33986067,Deep Learning with Python,François Chollet,1617294438,9781617294433.0,5,4.58,Manning,350,2017.0,2017.0,2022-12-15,2021-12-17,"data_science, read",1,Stand Alone
19486421,"Skin Game (The Dresden Files, #15)",Jim Butcher,0451464397,9780451464392.0,5,4.56,Roc,454,2014.0,2014.0,2022-10-21,2021-04-21,read,1,The Dresden Files
49381341,"Peace Talks (The Dresden Files, #16)",Jim Butcher,0451464419,9780451464415.0,5,4.21,Ace,340,2020.0,2020.0,2022-11-09,2021-04-21,read,1,The Dresden Files
23947089,"The Lost Metal (Mistborn, #7)",Brandon Sanderson,0765391198,9780765391193.0,5,4.53,Tor Books,507,2022.0,2022.0,2022-11-20,2020-07-03,read,1,Mistborn
59808314,"Bastille vs. the Evil Librarians (Alcatraz vs. the Evil Librarians, #6)",Brandon Sanderson,1250811066,9781250811066.0,5,4.13,Starscape,256,2022.0,2022.0,2022-10-02,2022-10-01,read,1,Alcatraz vs. the Evil Librarians
12216302,"Cold Days (The Dresden Files, #14)",Jim Butcher,0451464400,9780451464408.0,5,4.48,Penguin Group (USA),515,2012.0,2012.0,2022-09-03,2021-04-21,read,1,The Dresden Files
8058301,"Ghost Story (The Dresden Files, #13)",Jim Butcher,045146379X,9780451463791.0,4,4.25,Roc Hardcover,481,2011.0,2011.0,2022-08-10,2022-08-02,read,1,The Dresden Files
6585201,"Changes (The Dresden Files, #12)",Jim Butcher,045146317X,9780451463173.0,5,4.5,Roc,438,2010.0,2010.0,2022-08-01,2021-04-21,read,1,The Dresden Files
3475161,"Turn Coat (The Dresden Files, #11)",Jim Butcher,0451462564,9780451462565.0,5,4.44,Roc,418,2009.0,2009.0,2022-07-20,2021-04-21,read,1,The Dresden Files
927979,"Small Favor (The Dresden Files, #10)",Jim Butcher,0451461894,9780451461896.0,5,4.44,Roc,545,2008.0,2008.0,2022-06-21,2021-04-21,read,1,The Dresden Files
17397466,An Introduction to Statistical Learning: With Applications in R,Gareth James,1461471370,9781461471370.0,5,4.6,Springer,426,2017.0,2013.0,2022-06-08,2021-11-21,"data_science, read",1,Stand Alone
91475,"White Night (The Dresden Files, #9)",Jim Butcher,0451461401,9780451461407.0,5,4.39,Roc,407,2007.0,2007.0,2022-06-04,2021-04-21,read,1,The Dresden Files
25877663,"Babylon's Ashes (The Expanse, #6)",James S.A. Corey,0356504263,9780356504261.0,5,4.24,Orbit,538,2016.0,2016.0,2022-05-30,2022-01-23,read,1,The Expanse
17683,"Dead Beat (The Dresden Files, #7)",Jim Butcher,045146091X,9780451460912.0,5,4.41,Roc,517,2006.0,2005.0,2022-05-19,2021-04-21,read,1,The Dresden Files
22886612,"Nemesis Games (The Expanse, #5)",James S.A. Corey,,,5,4.43,Orbit,536,2015.0,2015.0,2022-05-08,2022-01-23,read,1,The Expanse
99383,"Blood Rites (The Dresden Files, #6)",Jim Butcher,0451459873,9780451459879.0,4,4.3,Roc,372,2004.0,2004.0,2022-04-30,2021-04-21,read,1,The Dresden Files
91479,"Death Masks (The Dresden Files, #5)",Jim Butcher,0451459407,9780451459404.0,5,4.29,Roc,432,2003.0,2003.0,2022-04-21,2021-04-21,read,1,The Dresden Files
18656030,"Cibola Burn (The Expanse, #4)",James S.A. Corey,,,5,4.21,Orbit,581,2014.0,2014.0,2022-04-17,2022-01-23,read,1,The Expanse
55262194,The Lightning Tree,Patrick Rothfuss,,,4,4.0,,93,2014.0,2014.0,2022-04-16,2022-04-16,read,1,Stand Alone
16131032,"Abaddon's Gate (The Expanse, #3)",James S.A. Corey,,,5,4.26,Orbit,539,2013.0,2013.0,2022-02-24,2022-01-23,read,1,The Expanse
12591698,"Caliban's War (The Expanse, #2)",James S.A. Corey,1841499900,9781841499901.0,5,4.37,"Orbit/Little, Brown Book Group",624,2012.0,2012.0,2022-01-28,2022-01-23,read,1,The Expanse
8855321,"Leviathan Wakes (The Expanse, #1)",James S.A. Corey,1841499889,9781841499888.0,5,4.29,Orbit,592,2011.0,2011.0,2022-01-23,2021-10-30,read,1,The Expanse
58465495,"Evershore (Skyward, #3.1)",Brandon Sanderson,,9780593566633.0,5,4.42,Delacorte Press,234,2021.0,2021.0,2022-01-06,2021-11-22,read,1,Skyward
22514127,Automate the Boring Stuff with Python: Practical Programming for Total Beginners,Al Sweigart,1593275994,9781593275990.0,5,4.29,No Starch Press,479,2015.0,2014.0,2021-11-29,2021-11-21,"programming, read",1,Stand Alone
34601024,"Hands-On Machine Learning with Scikit-Learn and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems",Aurélien Géron,,,5,4.56,O'Reilly Media,566,2017.0,2017.0,2021-12-17,2021-11-27,"data_science, read",1,Stand Alone
57094644,Daughter of the Deep,Rick Riordan,1368077927,9781368077927.0,5,4.24,Disney-Hyperion,352,2021.0,2021.0,2021-12-22,2021-09-21,read,1,Stand Alone
44492285,"Dune Messiah (Dune, #2)",Frank Herbert,0593098234,9780593098233.0,4,3.89,Ace Books,337,2019.0,1969.0,2021-12-16,2021-09-17,read,1,Dune
43606157,"Cytonic (Skyward, #3)",Brandon Sanderson,1473217938,9781473217935.0,5,4.1,Gollancz,432,2021.0,2021.0,2021-12-02,2021-05-26,read,1,Skyward
44767458,"Dune (Dune, #1)",Frank Herbert,059309932X,9780593099322.0,5,4.25,Ace Books,658,2019.0,1965.0,2021-11-08,2020-04-11,read,1,Dune
57903879,"ReDawn (Skyward, #2.2)",Brandon Sanderson,,9780593566626.0,5,4.22,Delacorte Press,229,2021.0,2021.0,2021-11-05,2021-05-26,read,1,Skyward
57903876,"Sunreach (Skyward, #2.1)",Brandon Sanderson,,9780593566619.0,5,4.18,Delacorte Press,208,2021.0,2021.0,2021-09-29,2021-05-26,read,1,Skyward
35167718,"""What Do You Care What Other People Think?"": Further Adventures of a Curious Character",Richard P. Feynman,0393355640,9780393355642.0,5,4.18,W. W. Norton  Company,288,2018.0,1988.0,2021-09-09,2021-08-16,read,1,Stand Alone
35959740,Circe,Madeline Miller,0316556343,9780316556347.0,5,4.25,"Little, Brown and Company",393,2018.0,2018.0,2021-08-31,2020-06-19,read,1,Stand Alone
69571,"Rich Dad, Poor Dad",Robert T. Kiyosaki,0751532711,9780751532715.0,5,4.12,Time Warner Books UK,195,2007.0,1997.0,2021-08-19,2021-07-06,read,1,Stand Alone
19063,The Book Thief,Markus Zusak,,,5,4.39,Alfred A. Knopf,552,2006.0,2006.0,2021-08-13,2021-07-24,"favorites, read",1,Stand Alone
31817749,"The Stone Sky (The Broken Earth, #3)",N.K. Jemisin,,,5,4.35,Orbit,416,2017.0,2017.0,2021-07-29,2021-06-04,read,1,The Broken Earth
26228034,"The Obelisk Gate (The Broken Earth, #2)",N.K. Jemisin,,,5,4.31,Orbit,410,2016.0,2016.0,2021-07-12,2021-06-04,read,1,The Broken Earth
817589,Learn to Earn: A Beginner's Guide to the Basics of Investing and Business,Peter Lynch,0684811634,9780684811635.0,5,4.04,Simon  Schuster,272,1996.0,1995.0,2021-07-11,2021-07-06,read,1,Stand Alone
17999205,Computing with Quantum Cats: From Colossus to Qubits,John Gribbin,0593071158,9780593071151.0,5,3.76,Bantam Press,304,2013.0,2013.0,2021-07-03,2021-05-08,read,1,Stand Alone
19161852,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,,,5,4.32,Orbit,468,2015.0,2015.0,2021-06-26,2021-06-04,read,1,The Broken Earth
8695,"The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy, #2)",Douglas Adams,,,5,4.21,Del Rey,250,2005.0,1980.0,2021-06-21,2021-05-29,read,1,Hitchhiker's Guide to the Galaxy
54513688,"Realm Breaker (Realm Breaker, #1)",Victoria Aveyard,,,3,3.65,Orion Publishing,576,2021.0,2021.0,2021-06-15,2021-06-09,read,1,Realm Breaker
386162,"The Hitchhiker's Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,,,5,4.23,Del Rey,193,2007.0,1979.0,2021-06-08,2021-05-29,"books_worth_rereading, favorites, read",1,The Hitchhiker's Guide to the Galaxy
31520883,"A ​Sky Beyond the Storm (An Ember in the Ashes, #4)",Sabaa Tahir,000828881X,9780008288815.0,4,4.34,Razorbill,516,2021.0,2020.0,2021-06-04,2021-05-28,read,1,An Ember in the Ashes
4671,The Great Gatsby,F. Scott Fitzgerald,,,4,3.93,Scribner,180,2004.0,1925.0,2021-05-29,2020-04-11,"books_i_own, read",1,Stand Alone
30809786,"A Reaper at the Gates (An Ember in the Ashes, #3)",Sabaa Tahir,0448494507,9780448494500.0,5,4.19,Razorbill,458,2018.0,2018.0,2021-05-28,2021-05-14,read,1,An Ember in the Ashes
27774758,"An Ember in the Ashes (An Ember in the Ashes, #1)",Sabaa Tahir,,,4,4.26,Razorbill,446,2016.0,2015.0,2021-05-17,2021-05-14,read,1,An Ember in the Ashes
25591568,"A Torch Against the Night (An Ember in the Ashes, #2)",Sabaa Tahir,,,3,4.25,Razorbill,467,2016.0,2016.0,2021-05-20,2021-05-14,read,1,An Ember in the Ashes
30169100,"The Burning White (Lightbringer, #5)",Brent Weeks,0316251305,9780316251303.0,5,4.27,Orbit,992,2019.0,2019.0,2021-05-13,2021-05-01,read,1,Lightbringer
23437156,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,,,5,4.49,Henry Holt & Company,465,2015.0,2015.0,2021-03-12,2021-03-11,"favorites, books_worth_rereading, books_i_own, read",1,Six of Crows
13497,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,055358202X,9780553582024.0,5,4.15,Bantam Books,1061,2011.0,2005.0,2021-03-27,2020-04-02,"books_i_own, read",1,A Song of Ice and Fire
22299763,"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,,,5,4.61,Orion Children's Books,561,2016.0,2016.0,2021-03-13,2021-03-12,"favorites, books_worth_rereading, books_i_own, read",1,Six of Crows
10664113,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,,,5,4.33,Bantam,1125,2011.0,2011.0,2021-04-07,2020-04-11,"books_i_own, read",1,A Song of Ice and Fire
11133581,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,,,5,4.54,Voyager,1218,2011.0,2000.0,2021-01-29,2020-02-26,"books_i_own, read",1,A Song of Ice and Fire
26047438,"Fire Falling (Air Awakens, #2)",Elise Kova,1619849526,9781619849525.0,3,4.17,Silver Wing Press,378,2015.0,2015.0,2021-04-24,2021-04-21,read,1,Air Awakens
29467232,"The Blood Mirror (Lightbringer, #4)",Brent Weeks,031625133X,9780316251334.0,4,4.33,Orbit,704,2016.0,2015.0,2021-05-09,2021-05-01,read,1,Lightbringer
30075662,"Aurora Rising (The Aurora Cycle, #1)",Amie Kaufman,1524720968,9781524720964.0,5,4.12,Knopf Books for Young Readers,473,2019.0,2019.0,2021-04-30,2021-04-29,read,1,The Aurora Cycle
12652457,"The Broken Eye (Lightbringer, #3)",Brent Weeks,,,4,4.46,Orbit,846,2014.0,2014.0,2021-05-07,2021-05-01,read,1,Lightbringer
12499290,"The Blinding Knife (Lightbringer, #2)",Brent Weeks,031607991X,9780316079914.0,5,4.42,Orbit,671,2012.0,2012.0,2021-05-04,2021-05-01,read,1,Lightbringer
7165300,"The Black Prism (Lightbringer, #1)",Brent Weeks,0316075558,9780316075558.0,5,4.23,Orbit,629,2010.0,2010.0,2021-05-02,2021-05-01,read,1,Lightbringer
32726691,Storm in a Teacup: The Physics of Everyday Life,Helen Czerski,,,4,4.02,Transworld Digital,282,2016.0,2017.0,2021-04-29,2021-03-20,"science, read",1,Stand Alone
23127048,"Air Awakens (Air Awakens, #1)",Elise Kova,1932549935,9781932549935.0,4,4.01,Silver Wing Press,342,2015.0,2015.0,2021-04-23,2021-04-21,read,1,Air Awakens
36307634,"King of Scars (King of Scars, #1)",Leigh Bardugo,,,5,4.17,Imprint,527,2019.0,2019.0,2021-03-15,2021-03-11,"favorites, books_worth_rereading, read",1,King of Scars
25734172,Seven Brief Lessons on Physics,Carlo Rovelli,0399184414,9780399184413.0,4,3.98,Riverhead Books,81,2016.0,2014.0,2021-01-05,2021-01-01,"science, read",1,Stand Alone
32191710,Astrophysics for People in a Hurry,Neil deGrasse Tyson,0393609391,9780393609394.0,5,4.09,W. W. Norton  Company,223,2017.0,2017.0,2021-03-09,2021-02-19,"favorites, science, read",1,Stand Alone
14290364,"Champion (Legend, #3)",Marie Lu,0399256776,9780399256776.0,4,4.33,Putnam Juvenile,369,2013.0,2013.0,2021-04-21,2021-04-18,read,1,Legend
13206760,"Scarlet (The Lunar Chronicles, #2)",Marissa Meyer,0312642962,9780312642969.0,5,4.26,Feiwel & Friends,454,2013.0,2013.0,2021-04-09,2021-04-07,"favorites, read",1,The Lunar Chronicles
35425827,"Archenemies (Renegades, #2)",Marissa Meyer,1250311446,9781250311443.0,5,4.28,Feiwel & Friends,560,2018.0,2018.0,2021-04-16,2021-04-10,"favorites, read",1,Renegades
13414446,"Prodigy (Legend, #2)",Marie Lu,0399256768,9780399256769.0,5,4.24,Putnam Juvenile,371,2013.0,2013.0,2021-04-20,2021-04-18,"favorites, read",1,Legend
14061957,"Ruin and Rising (The Shadow and Bone Trilogy, #3)",Leigh Bardugo,,,5,4.02,Henry Holt and Company,422,2014.0,2014.0,2021-03-10,2021-03-10,"favorites, read",1,The Shadow and Bone Trilogy
9275658,"Legend (Legend, #1)",Marie Lu,,,4,4.16,Putnam Juvenile,305,2011.0,2011.0,2021-04-18,2021-04-18,read,1,Legend
42771754,"Supernova (Renegades, #3)",Marissa Meyer,1250078385,9781250078384.0,4,4.41,Feiwel & Friends,549,2019.0,2019.0,2021-04-17,2021-04-10,read,1,Renegades
28421168,"Renegades (Renegades, #1)",Marissa Meyer,1250044669,9781250044662.0,4,4.15,Feiwel & Friends,552,2017.0,2017.0,2021-04-16,2021-04-10,read,1,Renegades
9361589,The Night Circus,Erin Morgenstern,,9780385534635.0,4,4.03,Doubleday,387,2011.0,2011.0,2021-04-13,2021-04-13,read,1,Stand Alone
13206900,"Winter (The Lunar Chronicles, #4)",Marissa Meyer,0312642989,9780312642983.0,5,4.43,Feiwel & Friends,832,2015.0,2015.0,2021-04-11,2021-04-07,read,1,The Lunar Chronicles
13206828,"Cress (The Lunar Chronicles, #3)",Marissa Meyer,0312642970,9780312642976.0,5,4.42,Feiwel & Friends,552,2014.0,2014.0,2021-04-10,2021-04-07,read,1,The Lunar Chronicles
36381037,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,,,5,4.13,Feiwel & Friends,400,2012.0,2012.0,2021-04-08,2021-04-07,read,1,The Lunar Chronicles
36307674,"Rule of Wolves (King of Scars, #2)",Leigh Bardugo,1510109188,9781510109186.0,4,4.38,Orion Children's Books,592,2021.0,2021.0,2021-03-31,2021-03-15,read,1,King of Scars
91478,"Summer Knight (The Dresden Files, #4)",Jim Butcher,0451458923,9780451458926.0,5,4.27,Roc,446,2002.0,2002.0,2021-03-20,2021-03-10,read,1,The Dresden Files
833424,"Reaper Man (Discworld, #11; Death, #2)",Terry Pratchett,0552134643,9780552134644.0,4,4.28,Corgi Books,288,1992.0,1991.0,2021-03-08,2021-02-27,read,1,"Discworld, #11; Death"
14061955,"Siege and Storm (The Shadow and Bone Trilogy, #2)",Leigh Bardugo,,,5,3.84,Henry Holt and Company,435,2013.0,2013.0,2021-03-10,2021-03-09,read,1,The Shadow and Bone Trilogy
10194157,"Shadow and Bone (The Shadow and Bone Trilogy, #1)",Leigh Bardugo,,,4,3.95,Henry Holt & Company,358,2012.0,2012.0,2021-03-09,2021-03-08,read,1,The Shadow and Bone Trilogy
35068705,"The Poppy War (The Poppy War, #1)",R.F. Kuang,0062662597,9780062662590.0,4,4.15,Harper Voyager,545,2018.0,2018.0,2021-02-18,2021-01-29,read,1,The Poppy War
6969361,2 States: The Story of My Marriage,Chetan Bhagat,8129115301,9788129115300.0,2,3.43,Rupa & Co,269,2009.0,2009.0,2021-01-01,2021-01-01,read,1,Stand Alone
228665,"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,0812511816,9780812511819.0,5,4.19,Tor Books,800,1990.0,1990.0,2020-07-20,2020-02-26,"favorites, read",1,The Wheel of Time
16031812,"A Memory of Light (Wheel of Time, #14)",Robert Jordan,,,5,4.55,Tor Books,1025,2013.0,2013.0,2020-08-11,2020-08-09,"books_worth_rereading, favorites, read",1,Wheel of Time
26032825,"The Cruel Prince (The Folk of the Air, #1)",Holly Black,,,5,4.08,"Little, Brown Books for Young Readers",370,2018.0,2018.0,2020-08-26,2020-04-25,"books_i_own, favorites, read",1,The Folk of the Air
1215032,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,0756404738,9780756404734.0,5,4.55,DAW Books,994,2011.0,2011.0,2020-03-26,2020-03-25,"books_worth_rereading, favorites, books_i_own, read",2,The Kingkiller Chronicle
26032887,"The Wicked King (The Folk of the Air, #2)",Holly Black,0316310336,9780316310338.0,5,4.33,"Little, Brown Books for Young Readers",336,2019.0,2019.0,2020-08-27,2020-04-25,"books_i_own, read",1,The Folk of the Air
68429,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,0765316889,9780765316882.0,5,4.38,Tor Books,590,2007.0,2007.0,2020-04-05,2020-03-30,"books_worth_rereading, favorites, books_i_own, read",1,Mistborn
561456,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,0141382899,9780141382890.0,5,4.36,Puffin Books,320,2007.0,2007.0,2020-10-13,2020-02-26,"books_i_own, read",3,Percy Jackson and the Olympians
42769202,"Starsight (Skyward, #2)",Brandon Sanderson,1473217903,9781473217904.0,5,4.4,Orion Publishing Co,461,2019.0,2019.0,2020-07-13,2020-07-03,"books_i_own, read",1,Skyward
36642458,"Skyward (Skyward, #1)",Brandon Sanderson,1473217857,9781473217850.0,5,4.49,Gollancz,513,2018.0,2018.0,2020-07-05,2020-07-03,"books_worth_rereading, favorites, books_i_own, read",1,Skyward
28186,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,0786856866,9780786856862.0,5,4.24,Hyperion Books,279,2006.0,2006.0,2020-10-13,2020-04-02,"books_i_own, read",2,Percy Jackson and the Olympians
