Book Name,Author,ISBN 13,ISBN,Number of Pages,Average Rating,Total Number of Ratings,Publication Date,Date Started,Date Completed
"The False Prince (Ascendance, #1)","Nielsen, Jennifer A.",9780545284134,0545284139,342,4.22,88002,"Apr 01, 2012","Dec 21, 2022","Dec 22, 2022"
"Amari and the Great Game (Supernatural Investigations, #2)","Alston, B.B.",,,400,4.41,3427,"Aug 30, 2022","Dec 16, 2022","Dec 19, 2022"
"Amari and the Night Brothers (Supernatural Investigations, #1)","Alston, B.B.",,,416,4.43,19402,"Jan 19, 2021","Dec 16, 2022","Dec 16, 2022"
"Bastille vs. the Evil Librarians (Alcatraz vs. the Evil Librarians, #6)","Sanderson, Brandon",9781250811066,1250811066,256,4.13,1408,"Sep 20, 2022",Oct 2022,"Oct 02, 2022"
"Battle Ground (The Dresden Files, #17)","Butcher, Jim",9780593199305,0593199308,418,4.41,35464,"Sep 29, 2020","Nov 09, 2022","Dec 16, 2022"
"Ghost Story (The Dresden Files, #13)","Butcher, Jim",9780451463791,045146379X,481,4.25,92985,"Jul 26, 2011","Aug 08, 2022","Aug 10, 2022"
The Lightning Tree,"Rothfuss, Patrick",,,93,4.0,2552,2014,"Apr 16, 2022","Apr 16, 2022"
"Babylon's Ashes (The Expanse, #6)","Corey, James S.A.",9780356504261,0356504263,538,4.24,68117,"Dec 06, 2016","May 08, 2022","May 30, 2022"
"Cibola Burn (The Expanse, #4)","Corey, James S.A.",,,581,4.21,91287,"Jun 17, 2014","Feb 24, 2022","Apr 17, 2022"
"Nemesis Games (The Expanse, #5)","Corey, James S.A.",,,536,4.43,81766,"Jun 02, 2015","Apr 18, 2022","May 08, 2022"
"Abaddon's Gate (The Expanse, #3)","Corey, James S.A.",,,539,4.26,112210,"Jun 04, 2013","Jan 28, 2022","Feb 24, 2022"
"Caliban's War (The Expanse, #2)","Corey, James S.A.",9781841499901,1841499900,624,4.37,132814,"Jun 07, 2012","Jan 23, 2022","Jan 28, 2022"
Deep Learning with Python,"Chollet, Francois",9781617294433,1617294438,350,4.58,1092,"Nov 30, 2017","Dec 17, 2021","Dec 15, 2022"
"Hands-On Machine Learning with Scikit-Learn and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems","Géron, Aurélien",,,566,4.56,2132,"Apr 09, 2017","Nov 27, 2021","Dec 17, 2021"
"Evershore (Skyward, #3.1)","Sanderson, Brandon",9780593566633,,234,4.42,9366,"Dec 28, 2021","Dec 30, 2021","Jan 06, 2022"
An Introduction to Statistical Learning: With Applications in R,"James, Gareth",9781461471370,1461471370,426,4.6,1977,"Jun 24, 2013","Nov 21, 2021","Jun 08, 2022"
Automate the Boring Stuff with Python: Practical Programming for Total Beginners,"Sweigart, Al",9781593275990,1593275994,479,4.29,2527,"Nov 25, 2014","Nov 21, 2021","Nov 29, 2021"
"Leviathan Wakes (The Expanse, #1)","Corey, James S.A.",9781841499888,1841499889,592,4.29,229762,"Jun 02, 2011","Jan 07, 2022","Jan 23, 2022"
Daughter of the Deep,"Riordan, Rick",9781368077927,1368077927,352,4.24,16568,2021,"Dec 16, 2021","Dec 22, 2021"
"Dune Messiah (Dune, #2)","Herbert, Frank",9780593098233,0593098234,337,3.89,221530,Jul 1969,"Nov 09, 2021","Dec 16, 2021"
"""What Do You Care What Other People Think?"": Further Adventures of a Curious Character","Feynman, Richard",9780393355642,0393355640,288,4.18,27521,1988,"Aug 16, 2021","Sep 09, 2021"
Wuthering Heights,"Brontë, Emily",,,464,3.88,1630336,Dec 1847,not set,not set
कायाकल्प,"Premchand, Munshi",,,,3.92,141,2007,not set,not set
The Book Thief,"Zusak, Markus",,,552,4.39,2281326,"Mar 01, 2006","Jul 30, 2021","Aug 13, 2021"
Learn to Earn: A Beginner's Guide to the Basics of Investing and Business,"Lynch, Peter",9780684811635,0684811634,272,4.04,4188,1995,"Jul 06, 2021","Jul 11, 2021"
"Rich Dad, Poor Dad","Kiyosaki, Robert T.",9780751532715,0751532711,195,4.12,530705,1997,"Jul 06, 2021","Aug 19, 2021"
"Pebble in the Sky (Galactic Empire, #3)","Asimov, Isaac",9780553293425,0553293427,308,3.89,22635,1950,not set,not set
प्रतिज्ञा : Pledge,"Premchand, Munshi",,,97,4.05,398,1927,not set,not set
रंगभूमि,"Premchand, Munshi",,,,4.26,416,1925,not set,not set
वरदान,"Premchand, Munshi",9788181332998,8181332997,128,3.76,354,"Dec 31, 1899",not set,not set
Gaban,"Premchand, Munshi",9788122311969,8122311962,272,4.31,4447,1931,not set,not set
Nirmala,"Premchand, Munshi",9780195658262,0195658264,218,4.14,3739,"Dec 31, 1899",not set,not set
गोदान [Godaan],"Premchand, Munshi",9788172242190,8172242190,352,4.38,7844,1936,not set,not set
इंद्रजाल,"प्रसाद, जयशंकर",,,155,3.96,154,unknown,not set,not set
अजातशत्रु,"प्रसाद, जयशंकर",,8171831044,,3.72,60,"Jan 01, 2011",not set,not set
स्कंदगुप्त,"प्रसाद, जयशंकर",9788179873533,,120,4.07,45,1964,not set,not set
ध्रुवस्वामिनी,"प्रसाद, जयशंकर",,,81,4.03,146,unknown,not set,not set
कामायनी,"प्रसाद, जयशंकर",9788171783212,8126700386,159,4.26,566,1936,not set,not set
चन्द्रगुप्त,"प्रसाद, जयशंकर",,,226,4.09,583,"Jan 01, 1994",not set,not set
"Realm Breaker (Realm Breaker, #1)","Aveyard, Victoria",,,576,3.65,22984,"May 04, 2021","Jun 10, 2021","Jun 15, 2021"
"The Fifth Season (The Broken Earth, #1)","Jemisin, N.K.",,,468,4.32,220089,"Aug 04, 2015","Jun 19, 2021","Jun 26, 2021"
"The Obelisk Gate (The Broken Earth, #2)","Jemisin, N.K.",,,410,4.31,133902,"Aug 16, 2016","Jun 26, 2021","Jul 12, 2021"
"The Stone Sky (The Broken Earth, #3)","Jemisin, N.K.",,,416,4.35,112260,"Aug 15, 2017","Jul 12, 2021","Jul 29, 2021"
"The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy, #2)","Adams, Douglas",,,250,4.21,265538,"Oct 12, 1980","Jun 08, 2021","Jun 21, 2021"
"The Hitchhiker's Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)","Adams, Douglas",,,193,4.23,1696703,"Oct 12, 1979","May 29, 2021","Jun 08, 2021"
"A ​Sky Beyond the Storm (An Ember in the Ashes, #4)","Tahir, Sabaa",9780008288815,000828881X,516,4.34,45059,"Dec 01, 2020","May 28, 2021","Jun 04, 2021"
"Cytonic (Skyward, #3)","Sanderson, Brandon",9781473217935,1473217938,432,4.1,31285,"Nov 23, 2021","Nov 22, 2021","Dec 02, 2021"
"ReDawn (Skyward, #2.2)","Sanderson, Brandon",9780593566626,,229,4.22,11721,"Oct 26, 2021","Oct 29, 2021","Nov 05, 2021"
"Sunreach (Skyward, #2.1)","Sanderson, Brandon",9780593566619,,208,4.18,14371,"Sep 28, 2021","Sep 28, 2021","Sep 29, 2021"
"A Reaper at the Gates (An Ember in the Ashes, #3)","Tahir, Sabaa",9780448494500,0448494507,458,4.19,76954,"Jun 12, 2018","May 20, 2021","May 28, 2021"
"An Ember in the Ashes (An Ember in the Ashes, #1)","Tahir, Sabaa",,,446,4.26,259406,"Apr 28, 2015","May 14, 2021","May 17, 2021"
"A Torch Against the Night (An Ember in the Ashes, #2)","Tahir, Sabaa",,,467,4.25,139784,"Aug 30, 2016","May 17, 2021","May 20, 2021"
"Harry Potter and the Philosopher's Stone (Harry Potter, #1)","Rowling, J.K.",9781408855652,1408855658,332,4.47,8950393,"Jun 26, 1997",not set,not set
Computing with Quantum Cats: From Colossus to Qubits,"Gribbin, John",9780593071151,0593071158,304,3.76,494,"Jun 20, 2013","May 14, 2021","Jul 03, 2021"
In Search of the Multiverse,"Gribbin, John",9781846141133,1846141133,250,4.09,1196,"Aug 27, 2009",not set,not set
Uncle Tom's Cabin,"Stowe, Harriet Beecher",,,438,3.9,215972,1852,not set,not set
Hard Times,"Dickens, Charles",9780321107213,0321107217,353,3.54,63626,1854,not set,not set
Oliver Twist,"Dickens, Charles",,,608,3.88,362574,1838,not set,not set
A Tale of Two Cities,"Dickens, Charles",9780141439600,0141439602,489,3.86,896403,"Nov 26, 1859",not set,not set
"The Blood Mirror (Lightbringer, #4)","Weeks, Brent",9780316251334,031625133X,704,4.33,42943,"Nov 16, 2015","May 07, 2021","May 09, 2021"
"The Burning White (Lightbringer, #5)","Weeks, Brent",9780316251303,0316251305,992,4.27,28150,"Oct 22, 2019","May 09, 2021","May 13, 2021"
"The Broken Eye (Lightbringer, #3)","Weeks, Brent",,,846,4.46,58917,"Aug 26, 2014","May 04, 2021","May 07, 2021"
"The Black Prism (Lightbringer, #1)","Weeks, Brent",9780316075558,0316075558,629,4.23,114928,"Aug 25, 2010",May 2021,"May 02, 2021"
"The Blinding Knife (Lightbringer, #2)","Weeks, Brent",9780316079914,031607991X,671,4.42,82419,"Sep 01, 2012","May 02, 2021","May 04, 2021"
"Aurora Rising (The Aurora Cycle, #1)","Kaufman, Amie",9781524720964,1524720968,473,4.12,58426,"May 06, 2019","Apr 29, 2021","Apr 30, 2021"
Pride and Prejudice,"Austen, Jane",,,333,4.28,3797721,"Jan 28, 1813",not set,not set
"Peace Talks (The Dresden Files, #16)","Butcher, Jim",9780451464415,0451464419,340,4.21,41003,"Jul 14, 2020","Oct 22, 2022","Nov 09, 2022"
"Skin Game (The Dresden Files, #15)","Butcher, Jim",9780451464392,0451464397,454,4.56,80093,"May 27, 2014","Sep 03, 2022","Oct 21, 2022"
"Cold Days (The Dresden Files, #14)","Butcher, Jim",9780451464408,0451464400,515,4.48,94701,"Nov 27, 2012","Aug 10, 2022","Sep 03, 2022"
"Changes (The Dresden Files, #12)","Butcher, Jim",9780451463173,045146317X,438,4.5,109551,"Apr 06, 2010","Jul 22, 2022",Aug 2022
"Turn Coat (The Dresden Files, #11)","Butcher, Jim",9780451462565,0451462564,418,4.44,98802,"Apr 07, 2009","Jun 24, 2022","Jul 20, 2022"
"Small Favor (The Dresden Files, #10)","Butcher, Jim",9780451461896,0451461894,545,4.44,103460,"Apr 01, 2008","Jun 04, 2022","Jun 21, 2022"
"White Night (The Dresden Files, #9)","Butcher, Jim",9780451461407,0451461401,407,4.39,113089,"Apr 03, 2007","Jun 02, 2022","Jun 04, 2022"
"Proven Guilty (The Dresden Files, #8)","Butcher, Jim",9780451461032,0451461037,547,4.4,114452,"Feb 01, 2006","May 20, 2022","Jun 03, 2022"
"Dead Beat (The Dresden Files, #7)","Butcher, Jim",9780451460912,045146091X,517,4.41,119126,"May 03, 2005","May 08, 2022","May 19, 2022"
"Blood Rites (The Dresden Files, #6)","Butcher, Jim",9780451459879,0451459873,372,4.3,122852,"Aug 01, 2004","Apr 22, 2022","Apr 30, 2022"
"Death Masks (The Dresden Files, #5)","Butcher, Jim",9780451459404,0451459407,432,4.29,130156,"Aug 01, 2003","Apr 18, 2022","Apr 21, 2022"
"Grave Peril (The Dresden Files, #3)","Butcher, Jim",9780451458445,0451458443,378,4.14,155480,"Sep 01, 2001",not set,not set
"The Last Wish (The Witcher, #0.5)","Sapkowski, Andrzej",,,400,4.14,296303,"Jan 31, 1993",not set,not set
"The Time of Contempt (The Witcher, #2)","Sapkowski, Andrzej",9780316219136,0316219134,331,4.17,115826,1995,not set,not set
"Fire Falling (Air Awakens, #2)","Kova, Elise",9781619849525,1619849526,378,4.17,28861,"Nov 19, 2015","Apr 23, 2021","Apr 24, 2021"
"Air Awakens (Air Awakens, #1)","Kova, Elise",9781932549935,1932549935,342,4.01,44886,"Aug 27, 2015","Apr 21, 2021","Apr 23, 2021"
"Champion (Legend, #3)","Lu, Marie",9780399256776,0399256776,369,4.33,201590,"Nov 05, 2013","Apr 20, 2021","Apr 21, 2021"
"Legend (Legend, #1)","Lu, Marie",,,305,4.16,491771,"Nov 29, 2011","Apr 18, 2021","Apr 18, 2021"
"Prodigy (Legend, #2)","Lu, Marie",9780399256769,0399256768,371,4.24,243510,"Jan 29, 2013","Apr 18, 2021","Apr 20, 2021"
"The Midnight Star (The Young Elites, #3)","Lu, Marie",9780399167850,0399167854,316,4.12,40705,"Oct 11, 2016","Dec 18, 2022","Dec 21, 2022"
"The Young Elites (The Young Elites, #1)","Lu, Marie",9780399167836,0399167838,355,3.88,128567,"Oct 07, 2014","Apr 30, 2021","Dec 17, 2022"
"The Rose Society (The Young Elites, #2)","Lu, Marie",9780399167843,0399167846,398,4.04,60160,"Oct 13, 2015","Dec 17, 2022","Dec 18, 2022"
The Night Circus,"Morgenstern, Erin",9780385534635,,387,4.03,862458,"Sep 13, 2011","Apr 13, 2021","Apr 13, 2021"
"Supernova (Renegades, #3)","Meyer, Marissa",9781250078384,1250078385,549,4.41,56132,"Nov 05, 2019","Apr 16, 2021","Apr 17, 2021"
"Renegades (Renegades, #1)","Meyer, Marissa",9781250044662,1250044669,552,4.15,116764,"Nov 07, 2017","Apr 15, 2021","Apr 16, 2021"
"Archenemies (Renegades, #2)","Meyer, Marissa",9781250311443,1250311446,560,4.28,68047,"Nov 06, 2018","Apr 16, 2021","Apr 16, 2021"
"Winter (The Lunar Chronicles, #4)","Meyer, Marissa",9780312642983,0312642989,832,4.43,248807,"Nov 10, 2015","Apr 10, 2021","Apr 11, 2021"
"Scarlet (The Lunar Chronicles, #2)","Meyer, Marissa",9780312642969,0312642962,454,4.26,381361,"Feb 05, 2013","Apr 08, 2021","Apr 09, 2021"
"Cress (The Lunar Chronicles, #3)","Meyer, Marissa",9780312642976,0312642970,552,4.42,335292,"Feb 04, 2014","Apr 10, 2021","Apr 10, 2021"
"Cinder (The Lunar Chronicles, #1)","Meyer, Marissa",,,400,4.13,841019,"Jan 03, 2012","Apr 07, 2021","Apr 08, 2021"
Storm in a Teacup: The Physics of Everyday Life,"Czerski, Helen",,,282,4.02,3853,"Jan 10, 2017","Mar 20, 2021","Apr 29, 2021"
"The Hope of Elantris (Elantris, #1.5)","Sanderson, Brandon",,,25,3.69,14594,2006,not set,not set
"Rule of Wolves (King of Scars, #2)","Bardugo, Leigh",9781510109186,1510109188,592,4.38,106655,"Mar 30, 2021","Mar 29, 2021","Mar 31, 2021"
"Crooked Kingdom (Six of Crows, #2)","Bardugo, Leigh",,,561,4.61,493190,"Sep 27, 2016","Mar 12, 2021","Mar 13, 2021"
"Six of Crows (Six of Crows, #1)","Bardugo, Leigh",,,465,4.49,731897,"Sep 29, 2015","Mar 11, 2021","Mar 12, 2021"
"King of Scars (King of Scars, #1)","Bardugo, Leigh",,,527,4.17,154010,"Jan 29, 2019","Mar 11, 2021","Mar 15, 2021"
"Summer Knight (The Dresden Files, #4)","Butcher, Jim",9780451458926,0451458923,446,4.27,141809,"Sep 03, 2002","Mar 10, 2021","Mar 20, 2021"
"Ruin and Rising (The Shadow and Bone Trilogy, #3)","Bardugo, Leigh",,,422,4.02,425419,"Jun 17, 2014","Mar 10, 2021","Mar 10, 2021"
"Siege and Storm (The Shadow and Bone Trilogy, #2)","Bardugo, Leigh",,,435,3.84,499536,"Jun 04, 2013","Mar 09, 2021","Mar 10, 2021"
Percy Jackson and the Singer of Apollo,"Riordan, Rick",,,32,4.06,7697,"Sep 17, 2013",not set,not set
Demigods & Magicians: Percy and Annabeth Meet the Kanes,"Riordan, Rick",9781484732786,1484732782,224,4.31,15496,"Apr 05, 2016",not set,not set
"The Crown of Ptolemy (Percy Jackson & Kane Chronicles Crossover, #3)","Riordan, Rick",9781484709870,148470987X,63,4.37,21712,"Mar 01, 2015",not set,not set
"The Staff of Serapis (Percy Jackson & Kane Chronicles Crossover, #2)","Riordan, Rick",9781484721346,1484721349,60,4.29,29093,"Apr 08, 2014",not set,not set
"The Son of Sobek (Percy Jackson & Kane Chronicles Crossover, #1)","Riordan, Rick",,,40,4.26,44250,2012,not set,not set
"The Serpent's Shadow (The Kane Chronicles, #3)","Riordan, Rick",9781423140573,1423140575,406,4.29,147709,"May 01, 2012",not set,not set
"The Blood of Olympus (The Heroes of Olympus, #5)","Riordan, Rick",9781423146735,1484724917,516,4.43,275916,"Oct 07, 2014",not set,not set
"The House of Hades (The Heroes of Olympus, #4)","Riordan, Rick",9781423146728,1423146727,597,4.55,352252,"Oct 08, 2013",not set,not set
"The Red Pyramid (The Kane Chronicles, #1)","Riordan, Rick",9781423113386,1423113381,528,4.1,368733,"May 04, 2010",not set,not set
"The Son of Neptune (The Heroes of Olympus, #2)","Riordan, Rick",9781423140597,1423140591,521,4.42,516897,"Oct 04, 2011",not set,not set
"Shadow and Bone (The Shadow and Bone Trilogy, #1)","Bardugo, Leigh",,,358,3.95,797095,"Jun 05, 2012","Mar 08, 2021","Mar 09, 2021"
"Reaper Man (Discworld, #11; Death, #2)","Pratchett, Terry",9780552134644,0552134643,288,4.28,94126,1991,"Feb 27, 2021","Mar 08, 2021"
Astrophysics for People in a Hurry,"Tyson, Neil deGrasse ",9780393609394,0393609391,223,4.09,154913,"May 02, 2017","Feb 19, 2021","Mar 09, 2021"
"The Poppy War (The Poppy War, #1)","Kuang, R.F.",9780062662590,0062662597,545,4.15,148141,"May 01, 2018","Feb 14, 2021","Feb 18, 2021"
Seven Brief Lessons on Physics,"Rovelli, Carlo",9780399184413,0399184414,81,3.98,50294,"Oct 22, 2014",Jan 2021,"Jan 05, 2021"
The Beat of a Different Drum: The Life and Science of Richard Feynman,"Mehra, Jagdish",9780198539483,0198539487,662,4.17,77,"Mar 31, 1994",not set,not set
Subtle Is the Lord: The Science and the Life of Albert Einstein,"Pais, Abraham",9780192806727,0192806726,576,4.33,1817,1982,not set,not set
Physics of the Future: How Science Will Shape Human Destiny and Our Daily Lives by the Year 2100,"Kaku, Michio",9780385530804,0385530803,416,4.0,16707,"Mar 15, 2011",not set,Jan 2019
"Hyperspace: A Scientific Odyssey Through Parallel Universes, Time Warps, and the Tenth Dimension","Kaku, Michio",9780192861894,0192861891,359,4.14,22041,1994,not set,not set
"Parallel Worlds: A Journey through Creation, Higher Dimensions, and the Future of the Cosmos","Kaku, Michio",9781400033720,1400033721,361,4.2,20125,2004,not set,not set
A Briefer History of Time,"Hawking, Stephen",9780553804362,0553804367,176,4.25,36179,Sep 2005,not set,not set
Brief Answers to the Big Questions,"Hawking, Stephen",9781984819192,1984819194,256,4.29,59941,Oct 2018,not set,not set
The Universe in a Nutshell,"Hawking, Stephen",9780553802023,055380202X,216,4.18,40029,"Oct 06, 2001",not set,not set
Cosmos,"Sagan, Carl",9780375508325,0375508325,365,4.38,136890,1980,not set,not set
A Short History of Nearly Everything,"Bryson, Bill",9780767908184,076790818X,544,4.21,357987,2003,not set,not set
2 States: The Story of My Marriage,"Bhagat, Chetan",9788129115300,8129115301,269,3.43,92370,"Oct 08, 2009","Jun 05, 2019","Jun 10, 2019"
Five Point Someone: What Not to Do at IIT,"Bhagat, Chetan",9788129104595,8129104598,267,3.43,88298,2004,not set,not set
Half Girlfriend,"Bhagat, Chetan",9788129135728,8129135728,260,3.13,48369,"Sep 30, 2014",not set,not set
The Last Question,"Asimov, Isaac",9781884214493,1884214495,9,4.56,22762,Nov 1956,not set,not set
"Robots and Empire (Robot, #4)","Asimov, Isaac",9780586062005,0586062009,512,4.21,30439,"Aug 20, 1985",not set,not set
"The Robots of Dawn (Robot, #3)","Asimov, Isaac",9780553299496,0553299492,438,4.18,45477,1983,not set,not set
"The Naked Sun (Robot, #2)","Asimov, Isaac",,,204,4.18,51860,1958,not set,not set
"The Caves of Steel (Robot, #1)","Asimov, Isaac",,,206,4.18,91394,Oct 1953,not set,not set
Forward the Foundation (Foundation: Prequel #2),"Asimov, Isaac",9780553565072,0553565079,464,4.15,52123,1993,not set,not set
Prelude to Foundation,"Asimov, Isaac",,,464,4.15,80974,May 1988,not set,not set
"Foundation and Earth (Foundation, #5)","Asimov, Isaac",9780553587579,0553587579,528,4.07,66333,"Oct 01, 1986",not set,not set
"Foundation's Edge (Foundation, #4)","Asimov, Isaac",9780553293388,0553293389,450,4.16,82223,"Oct 28, 1982",not set,not set
"Second Foundation (Foundation, #3)","Asimov, Isaac",9780553803730,0553803735,256,4.27,170062,1953,not set,not set
"Foundation and Empire (Foundation, #2)","Asimov, Isaac",9780553803723,0553803727,244,4.22,187102,1952,not set,not set
Schrödinger's Kittens and the Search for Reality: Solving the Quantum Mysteries,"Gribbin, John",9780316328197,0316328197,272,4.06,1540,1984,not set,not set
"The Search for Superstrings, Symmetry, and the Theory of Everything","Gribbin, John",9780316326148,0316326143,224,3.87,439,1998,not set,not set
Jane Austen: Seven Novels,"Austen, Jane",,,"2,398",4.57,31983,"Jan 28, 1813",not set,not set
तितली,"प्रसाद, जयशंकर",,,300,3.95,322,"Jan 01, 1985",not set,not set
Concepts of Physics (Part 1),"Verma, H.C.",,,456,4.34,1361,1999,not set,not set
प्रेमाश्रम [Premashram],"Premchand, Munshi",,,722,4.22,184,1956,not set,not set
The Merchant of Venice,"Shakespeare, William",,,140,3.79,177302,1596,not set,not set
Prema (Hindi),"Premchand, Munshi",,,172,4.05,264,"Jun 26, 2014",not set,not set
A Brief History Of Time: From the Big Bang To Black Holes,"Hawking, Stephen",9780553175219,0553175211,220,4.2,391593,"Apr 01, 1988",not set,not set
The Universe: A Biography,"Gribbin, John",9780141021478,0141021470,242,3.9,356,"Jan 25, 2007",not set,not set
"One, Two, Three...Infinity: Facts and Speculations of Science","Gamow, George",9780486256641,0486256642,384,4.2,3535,1947,not set,not set
"Surely You're Joking, Mr. Feynman!","Feynman, Richard",9780099173311,009917331X,350,4.27,187097,1985,not set,not set
The Elegant Universe,"Greene, Brian",9780099289920,009928992X,464,4.08,94299,"Feb 01, 1999",not set,not set
In Search of Schrödinger's Cat: Quantum Physics and Reality,"Gribbin, John",,,400,4.05,19975,Sep 1984,not set,not set
The Mill on the Floss,"Eliot, George",9788175993839,8175993839,560,3.81,52435,1860,not set,not set
"The Throne of Fire (Kane Chronicles, #2)","Riordan, Rick",9781423142010,1423142012,452,4.19,192183,"May 03, 2011",not set,not set
"Mort (Discworld, #4; Death, #1)","Pratchett, Terry",9780061020681,0061020680,243,4.24,225621,1987,"Nov 27, 2020",Dec 2020
"The Dark Talent (Alcatraz, #5)","Sanderson, Brandon",9780765381408,0765381400,281,4.11,6267,"Sep 06, 2016","Nov 25, 2020","Nov 25, 2020"
"Alcatraz Versus the Shattered Lens (Alcatraz, #4)","Sanderson, Brandon",9780439925570,0439925576,294,4.13,9724,"Dec 01, 2010","Nov 25, 2020","Nov 25, 2020"
"Alcatraz Versus the Knights of Crystallia (Alcatraz, #3)","Sanderson, Brandon",9780439925556,043992555X,299,4.13,11256,Oct 2009,"Nov 23, 2020","Nov 24, 2020"
"Alcatraz Versus the Scrivener's Bones (Alcatraz, #2)","Sanderson, Brandon",9780439925532,0439925533,322,4.13,13729,"Nov 01, 2008","Nov 16, 2020","Nov 23, 2020"
"Alcatraz Versus the Evil Librarians (Alcatraz, #1)","Sanderson, Brandon",9780439925501,0439925509,308,3.91,26572,"Oct 01, 2007","Nov 16, 2020","Nov 16, 2020"
"The Golden Tower (Magisterium, #5)","Black, Holly",9780545522427,,256,4.03,13665,"Sep 11, 2018","Nov 09, 2020","Nov 09, 2020"
