Country,Region_2015,Happiness Rank_2015,Happiness Score_2015,Economy (GDP per Capita)_2015,Family_2015,Health (Life Expectancy)_2015,Freedom_2015,Trust (Government Corruption)_2015,Generosity_2015,Dystopia Residual_2015,Region_2016,Happiness Rank_2016,Happiness Score_2016,Economy (GDP per Capita)_2016,Family_2016,Health (Life Expectancy)_2016,Freedom_2016,Trust (Government Corruption)_2016,Generosity_2016,Dystopia Residual_2016,Happiness Rank_2017,Happiness Score_2017,Economy (GDP per Capita)_2017,Family_2017,Health (Life Expectancy)_2017,Freedom_2017,Generosity_2017,Trust (Government Corruption)_2017,Dystopia Residual_x,Region_2017,Happiness Rank_2018,Happiness Score_2018,Economy (GDP per Capita)_2018,Family_2018,Health (Life Expectancy)_2018,Freedom_2018,Generosity_2018,Trust (Government Corruption)_2018,Region_2018,Happiness Rank_2019,Happiness Score_2019,Economy (GDP per Capita)_2019,Family_2019,Health (Life Expectancy)_2019,Freedom_2019,Generosity_2019,Trust (Government Corruption)_2019,Region_2019,Region_2020,Happiness Score_2020,Economy (GDP per Capita)_2020,Family_2020,Health (Life Expectancy)_2020,Freedom_2020,Generosity_2020,Trust (Government Corruption)_2020,Dystopia Residual_y,Happiness Rank_2020,Region,Happiness Score_2021,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Dystopia Residual_2021,Happiness Rank_2021,Happiness Rank_2022,Happiness Score_2022,Dystopia Residual_2022,Code
Uruguay,Latin America and Caribbean,32,6.485,1.06166,1.2089,0.8116,0.60362,0.24558,0.2324,2.32142,Latin America and Caribbean,29,6.545,1.18157,1.03143,0.72183,0.54388,0.21394,0.18056,2.67139,28,6.4539999961853,1.21755969524384,1.41222786903381,0.719216823577881,0.57939225435257,0.175096929073334,0.178061872720718,2.17240953445435,Latin America and Caribbean,31,6.379,1.093,1.459,0.771,0.625,0.13,0.155,Latin America and Caribbean,33,6.293,1.124,1.465,0.891,0.523,0.127,0.15,Latin America and Caribbean,Latin America and Caribbean,6.440100193,9.948192596,0.92281127,69.00254822,0.892395437,-0.101103112,0.635994136,2.167276382,26,Latin America and Caribbean,6.431,9.966,0.925,69.1,0.896,-0.092,0.59,2.6,31,30,6.474,1.974,URY
Colombia,Latin America and Caribbean,33,6.477,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401,2.85737,Latin America and Caribbean,31,6.481,1.03032,1.02169,0.59659,0.44735,0.05399,0.15626,3.17471,36,6.35699987411499,1.07062232494354,1.4021829366684,0.595027923583984,0.477487415075302,0.149014472961426,0.0466687418520451,2.61606812477112,Latin America and Caribbean,37,6.26,0.96,1.439,0.635,0.531,0.099,0.039,Latin America and Caribbean,43,6.125,0.985,1.41,0.841,0.47,0.099,0.034,Latin America and Caribbean,Latin America and Caribbean,6.163400173,9.500369072,0.884440243,67.69958496,0.836179912,-0.161235645,0.86457181,2.421656609,44,Latin America and Caribbean,6.012,9.557,0.847,68.001,0.837,-0.135,0.841,2.794,52,66,5.781,1.971,COL
Thailand,Southeastern Asia,34,6.455,0.9669,1.26504,0.7385,0.55664,0.03187,0.5763,2.31945,Southeastern Asia,33,6.474,1.0893,1.04477,0.64915,0.49553,0.02833,0.58696,2.5796,32,6.42399978637695,1.12786877155304,1.42579245567322,0.647239029407501,0.580200731754303,0.572123110294342,0.0316127352416515,2.03950834274292,Southeastern Asia,46,6.072,1.016,1.417,0.707,0.637,0.364,0.029,Southeastern Asia,52,6.008,1.05,1.409,0.828,0.557,0.359,0.028,Southeastern Asia,Southeast Asia,5.998799801,9.741791725,0.889973223,67.25059509,0.905063033,0.268685192,0.886272311,1.832384109,54,Southeast Asia,5.985,9.805,0.888,67.401,0.884,0.287,0.895,2.309,54,61,5.891,1.6,THA
Saudi Arabia,Middle East and Northern Africa,35,6.411,1.39541,1.08393,0.72025,0.31048,0.32524,0.13706,2.43872,Middle East and Northern Africa,34,6.379,1.48953,0.84829,0.59267,0.37904,0.30008,0.15457,2.61482,37,6.3439998626709,1.53062355518341,1.28667759895325,0.590148329734802,0.449750572443008,0.147616013884544,0.27343225479126,2.0654296875,Middle East and Northern Africa,33,6.371,1.379,1.331,0.633,0.509,0.098,0.127,Middle East and Northern Africa,28,6.375,1.403,1.357,0.795,0.439,0.08,0.132,Middle East and Northern Africa,Middle East and North Africa,6.406499863,10.79781246,0.874067068,66.30514526,0.854191244,-0.168695062,0.682619512,2.203118801,27,Middle East and North Africa,6.494,10.743,0.891,66.603,0.877,-0.149,0.684,2.668,26,25,6.523,2.075,SAU
Spain,Western Europe,36,6.329,1.23011,1.31379,0.95562,0.45951,0.06398,0.18227,2.12367,Western Europe,37,6.361,1.34253,1.12945,0.87896,0.37545,0.06137,0.17665,2.39663,34,6.40299987792969,1.38439786434174,1.53209090232849,0.888960599899292,0.408781230449677,0.190133571624756,0.0709140971302986,1.92775774002075,Western Europe,36,6.31,1.251,1.538,0.965,0.449,0.142,0.074,Western Europe,30,6.354,1.286,1.484,1.062,0.362,0.153,0.079,Western Europe,Western Europe,6.400899887,10.46292686,0.921125412,74.40270996,0.751989543,-0.050961714,0.765859902,1.997088432,28,Western Europe,6.491,10.571,0.932,74.7,0.761,-0.081,0.745,2.513,27,29,6.476,1.893,ESP
Malta,Western Europe,37,6.302,1.2074,1.30203,0.88721,0.60365,0.13586,0.51752,1.6488,Western Europe,30,6.488,1.30782,1.09879,0.80315,0.54994,0.17554,0.56237,1.99032,27,6.52699995040894,1.34327983856201,1.48841166496277,0.821944236755371,0.588767051696777,0.574730575084686,0.153066068887711,1.55686283111572,Western Europe,22,6.627,1.27,1.525,0.884,0.645,0.376,0.142,Western Europe,22,6.726,1.3,1.52,0.999,0.564,0.375,0.151,Western Europe,Western Europe,6.772799969,10.53383827,0.93037951,72.19999695,0.924911439,0.214965805,0.658547282,1.952012062,22,Western Europe,6.602,10.674,0.931,72.2,0.927,0.133,0.653,2.268,23,33,6.447,1.631,MLT
El Salvador,Latin America and Caribbean,42,6.13,0.76454,1.02507,0.67737,0.4035,0.11776,0.10692,3.035,Latin America and Caribbean,46,6.068,0.8737,0.80975,0.596,0.37269,0.10613,0.08877,3.22134,45,6.00299978256226,0.909784495830536,1.18212509155273,0.596018552780151,0.432452529668808,0.0782579854130745,0.0899809598922729,2.7145938873291,Latin America and Caribbean,40,6.167,0.806,1.231,0.639,0.461,0.065,0.082,Latin America and Caribbean,35,6.253,0.794,1.242,0.789,0.43,0.093,0.074,Latin America and Caribbean,Latin America and Caribbean,6.34829998,8.909075737,0.806092262,66.10826111,0.833805263,-0.121072978,0.754319906,2.937191725,34,Latin America and Caribbean,6.061,9.054,0.762,66.402,0.888,-0.11,0.688,3.085,49,49,6.12,2.514,SLV
Uzbekistan,Central and Eastern Europe,44,6.003,0.63244,1.34043,0.59772,0.65821,0.30826,0.22837,2.23741,Central and Eastern Europe,49,5.987,0.73591,1.1681,0.50163,0.60848,0.28333,0.34326,2.34638,47,5.97100019454956,0.786441087722778,1.54896914958954,0.498272627592087,0.658248662948608,0.415983647108078,0.246528223156929,1.81691360473633,Central and Eastern Europe,44,6.096,0.719,1.584,0.605,0.724,0.328,0.259,Central and Eastern Europe,41,6.174,0.745,1.529,0.756,0.631,0.322,0.24,Central and Eastern Europe,Commonwealth of Independent States,6.257599831,8.740371704,0.926595807,65.10757446,0.974998116,0.248427153,0.501497388,2.073346615,38,Commonwealth of Independent States,6.179,8.836,0.918,65.255,0.97,0.311,0.515,2.477,42,53,6.063,1.913,UZB
Slovakia,Central and Eastern Europe,45,5.995,1.16891,1.26999,0.78902,0.31751,0.03431,0.16893,2.24639,Central and Eastern Europe,45,6.078,1.27973,1.08268,0.70367,0.23391,0.02947,0.13837,2.61065,40,6.09800004959106,1.32539355754852,1.50505924224854,0.712732911109924,0.295817464590073,0.136544480919838,0.0242108516395092,2.09777665138245,Central and Eastern Europe,39,6.173,1.21,1.537,0.776,0.354,0.118,0.014,Central and Eastern Europe,38,6.198,1.246,1.504,0.881,0.334,0.121,0.014,Central and Eastern Europe,Central and Eastern Europe,6.280600071,10.34774971,0.922493756,68.90634155,0.749952674,-0.124409303,0.918096125,2.256422043,37,Central and Eastern Europe,6.331,10.369,0.936,69.201,0.766,-0.124,0.911,2.714,34,35,6.391,2.094,SVK
Japan,Eastern Asia,46,5.987,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705,1.68435,Eastern Asia,53,5.921,1.38007,1.06054,0.91491,0.46761,0.18985,0.10224,1.80584,51,5.92000007629395,1.41691517829895,1.43633782863617,0.913475871086121,0.505625545978546,0.12057276815176,0.163760736584663,1.36322355270386,Eastern Asia,54,5.915,1.294,1.462,0.988,0.553,0.079,0.15,Eastern Asia,58,5.886,1.327,1.419,1.088,0.445,0.069,0.14,Eastern Asia,East Asia,5.870800018,10.57968903,0.883545935,75.00096893,0.809961379,-0.246910349,0.654558063,1.486200333,62,East Asia,5.94,10.611,0.884,75.1,0.796,-0.258,0.638,2.048,56,54,6.039,1.487,JPN
Ecuador,Latin America and Caribbean,48,5.975,0.86402,0.99903,0.79075,0.48574,0.1809,0.11541,2.53942,Latin America and Caribbean,51,5.976,0.97306,0.85974,0.68613,0.4027,0.18037,0.10074,2.77366,44,6.00799989700317,1.00082039833069,1.28616881370544,0.685636222362518,0.4551981985569,0.150112465023994,0.140134647488594,2.29035258293152,Latin America and Caribbean,48,5.973,0.889,1.33,0.736,0.556,0.114,0.12,Latin America and Caribbean,50,6.028,0.912,1.312,0.868,0.498,0.126,0.087,Latin America and Caribbean,Latin America and Caribbean,5.925199986,9.246058464,0.836418986,68.50003815,0.859828949,-0.127014965,0.801215112,2.254933834,58,Latin America and Caribbean,5.764,9.313,0.821,68.8,0.842,-0.124,0.843,2.653,66,76,5.533,1.866,ECU
Bahrain,Middle East and Northern Africa,49,5.96,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,1.73797,Middle East and Northern Africa,42,6.218,1.44024,0.94397,0.65696,0.47375,0.25772,0.17147,2.27405,41,6.08699989318848,1.48841226100922,1.32311046123505,0.653133034706116,0.536746919155121,0.172668486833572,0.257042169570923,1.65614938735962,Middle East and Northern Africa,43,6.105,1.338,1.366,0.698,0.594,0.243,0.123,Middle East and Northern Africa,37,6.199,1.362,1.368,0.871,0.536,0.255,0.11,Middle East and Northern Africa,Middle East and North Africa,6.227300167,10.67638016,0.876342118,68.5,0.905855775,0.13372919,0.7393471,1.751917362,40,Middle East and North Africa,6.647,10.669,0.862,69.495,0.925,0.089,0.722,2.631,22,21,6.647,2.092,BHR
Italy,Western Europe,50,5.948,1.25114,1.19777,0.95446,0.26236,0.02901,0.22823,2.02518,Western Europe,50,5.977,1.35495,1.04167,0.85102,0.18827,0.02556,0.16684,2.34918,48,5.96400022506714,1.39506661891937,1.44492328166962,0.853144347667694,0.256450712680817,0.17278964817524,0.0280280914157629,1.81331205368042,Western Europe,47,6.0,1.264,1.501,0.946,0.281,0.137,0.028,Western Europe,36,6.223,1.294,1.488,1.039,0.231,0.158,0.03,Western Europe,Western Europe,6.38740015,10.48183632,0.889878571,73.60168457,0.66465199,-0.043460999,0.873404682,2.249505997,30,Western Europe,6.483,10.623,0.88,73.8,0.693,-0.084,0.866,2.794,28,31,6.467,2.222,ITA
Bolivia,Latin America and Caribbean,51,5.89,0.68133,0.97841,0.5392,0.57414,0.088,0.20536,2.82334,Latin America and Caribbean,59,5.822,0.79422,0.83779,0.4697,0.50961,0.07746,0.21698,2.91635,58,5.82299995422363,0.833756566047668,1.22761905193329,0.473630249500275,0.558732926845551,0.22556072473526,0.0604777261614799,2.44327902793884,Latin America and Caribbean,62,5.752,0.751,1.223,0.508,0.606,0.141,0.054,Latin America and Caribbean,61,5.779,0.776,1.209,0.706,0.511,0.137,0.064,Latin America and Caribbean,Latin America and Caribbean,5.747499943,8.851115227,0.803108692,63.6004715,0.875873327,-0.09168113,0.822606206,2.425928593,65,Latin America and Caribbean,5.716,9.046,0.81,63.901,0.875,-0.077,0.839,2.805,69,71,5.6,2.107,BOL
Moldova,Central and Eastern Europe,52,5.889,0.59448,1.01528,0.61826,0.32818,0.01615,0.20951,3.10712,Central and Eastern Europe,55,5.897,0.69177,0.83132,0.52309,0.25202,0.01903,0.19997,3.38007,56,5.83799982070923,0.728870630264282,1.25182557106018,0.589465200901031,0.240729048848152,0.208779126405716,0.0100912861526012,2.80780839920044,Central and Eastern Europe,67,5.64,0.657,1.301,0.62,0.232,0.171,0.0,Central and Eastern Europe,71,5.529,0.685,1.328,0.739,0.245,0.181,0.0,Central and Eastern Europe,Commonwealth of Independent States,5.607500076,8.776714325,0.843313575,65.01301575,0.721609175,-0.037741039,0.913314283,2.370968342,70,Commonwealth of Independent States,5.766,9.454,0.857,65.699,0.822,-0.079,0.918,2.665,65,62,5.857,2.142,MDA
Paraguay,Latin America and Caribbean,53,5.878,0.75985,1.30477,0.66098,0.53899,0.08242,0.3424,2.18896,Latin America and Caribbean,70,5.538,0.89373,1.11111,0.58295,0.46235,0.07396,0.25296,2.16091,70,5.49300003051758,0.932537317276001,1.50728487968445,0.579250693321228,0.473507791757584,0.224150657653809,0.091065913438797,1.6853334903717,Latin America and Caribbean,64,5.681,0.835,1.522,0.615,0.541,0.162,0.074,Latin America and Caribbean,63,5.743,0.855,1.475,0.777,0.514,0.184,0.08,Latin America and Caribbean,Latin America and Caribbean,5.692100048,9.389982224,0.898727894,65.63993835,0.885923445,0.007997713,0.834788501,1.83412528,67,Latin America and Caribbean,5.653,9.448,0.893,65.9,0.876,0.028,0.882,2.306,71,73,5.578,1.555,PRY
Kazakhstan,Central and Eastern Europe,54,5.855,1.12254,1.12241,0.64368,0.51649,0.08454,0.11827,2.24729,Central and Eastern Europe,54,5.919,1.22943,0.95544,0.57386,0.4052,0.11132,0.15011,2.49325,60,5.81899976730347,1.28455626964569,1.38436901569366,0.606041550636292,0.437454283237457,0.201964423060417,0.119282886385918,1.78489255905151,Central and Eastern Europe,60,5.79,1.143,1.516,0.631,0.454,0.148,0.121,Central and Eastern Europe,60,5.809,1.173,1.508,0.729,0.41,0.146,0.096,Central and Eastern Europe,Commonwealth of Independent States,6.057899952,10.11465836,0.934744895,64.60996246,0.811601937,-0.068488635,0.764490843,2.021602631,50,Commonwealth of Independent States,6.152,10.155,0.952,65.2,0.853,-0.069,0.733,2.446,45,40,6.234,1.86,KAZ
Slovenia,Central and Eastern Europe,55,5.848,1.18498,1.27385,0.87337,0.60855,0.03787,0.25328,1.61583,Central and Eastern Europe,63,5.768,1.29947,1.05613,0.79151,0.53164,0.03635,0.25738,1.79522,62,5.75799989700317,1.3412059545517,1.45251882076263,0.790828227996826,0.572575807571411,0.242649093270302,0.0451289787888527,1.31331729888916,Central and Eastern Europe,51,5.948,1.219,1.506,0.856,0.633,0.16,0.051,Central and Eastern Europe,44,6.118,1.258,1.523,0.953,0.564,0.144,0.057,Central and Eastern Europe,Central and Eastern Europe,6.363399982,10.39232254,0.939575672,71.1029892,0.936142623,-0.080603383,0.817071021,1.888586521,33,Central and Eastern Europe,6.461,10.529,0.948,71.4,0.949,-0.101,0.806,2.388,29,22,6.63,1.885,SVN
Lithuania,Central and Eastern Europe,56,5.833,1.14723,1.25745,0.73128,0.21342,0.01031,0.02641,2.44649,Central and Eastern Europe,60,5.813,1.2692,1.06411,0.64674,0.18929,0.0182,0.02025,2.60525,52,5.90199995040894,1.31458234786987,1.47351610660553,0.62894994020462,0.234231784939766,0.010164656676352,0.0118656428530812,2.22844052314758,Central and Eastern Europe,50,5.952,1.197,1.527,0.716,0.35,0.026,0.006,Central and Eastern Europe,42,6.149,1.238,1.515,0.818,0.291,0.043,0.042,Central and Eastern Europe,Central and Eastern Europe,6.215499878,10.34362602,0.926107109,67.29407501,0.747381449,-0.219725296,0.809583843,2.238146067,41,Central and Eastern Europe,6.255,10.499,0.935,67.906,0.773,-0.203,0.826,2.624,38,34,6.446,2.153,LTU
Nicaragua,Latin America and Caribbean,57,5.828,0.59325,1.14184,0.74314,0.55475,0.19317,0.27815,2.32407,Latin America and Caribbean,48,5.992,0.69384,0.89521,0.65213,0.46582,0.16292,0.29773,2.82428,43,6.07100009918213,0.737299203872681,1.28721570968628,0.653095960617065,0.447551846504211,0.301674216985703,0.130687981843948,2.51393055915833,Latin America and Caribbean,41,6.141,0.668,1.319,0.7,0.527,0.208,0.128,Latin America and Caribbean,45,6.105,0.694,1.325,0.835,0.435,0.2,0.127,Latin America and Caribbean,Latin America and Caribbean,6.13710022,8.493160248,0.857497036,67.50717926,0.863902867,0.020959141,0.665950119,2.496081114,46,Latin America and Caribbean,5.972,8.62,0.864,67.657,0.836,0.02,0.664,2.841,55,45,6.165,2.418,NIC
Peru,Latin America and Caribbean,58,5.824,0.90019,0.97459,0.73017,0.41496,0.05989,0.14982,2.5945,Latin America and Caribbean,64,5.743,0.99602,0.81255,0.62994,0.37502,0.05292,0.14527,2.73117,63,5.71500015258789,1.03522527217865,1.21877038478851,0.630166113376617,0.450002878904343,0.126819714903831,0.0470490865409374,2.20726943016052,Latin America and Caribbean,65,5.663,0.934,1.249,0.674,0.53,0.092,0.034,Latin America and Caribbean,65,5.697,0.96,1.274,0.854,0.455,0.083,0.027,Latin America and Caribbean,Latin America and Caribbean,5.796800137,9.456313133,0.831075251,68.10023499,0.824766099,-0.16238822,0.893714964,2.213499546,63,Latin America and Caribbean,5.84,9.458,0.832,68.25,0.822,-0.154,0.891,2.744,63,74,5.559,1.89,PER
Poland,Central and Eastern Europe,60,5.791,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759,1.86565,Central and Eastern Europe,57,5.835,1.24585,1.04685,0.69058,0.4519,0.055,0.14443,2.20035,46,5.97300004959106,1.29178786277771,1.44571197032928,0.699475347995758,0.520342111587524,0.158465966582298,0.0593078061938286,1.79772281646729,Central and Eastern Europe,42,6.123,1.176,1.448,0.781,0.546,0.108,0.064,Central and Eastern Europe,40,6.182,1.206,1.438,0.884,0.483,0.117,0.05,Central and Eastern Europe,Central and Eastern Europe,6.186299801,10.26512432,0.874257445,69.31113434,0.862055779,-0.205084071,0.686927021,2.056797981,43,Central and Eastern Europe,6.166,10.382,0.898,69.702,0.841,-0.165,0.735,2.438,44,48,6.123,1.693,POL
Malaysia,Southeastern Asia,61,5.77,1.12486,1.07023,0.72394,0.53024,0.10501,0.33075,1.88541,Southeastern Asia,47,6.005,1.25142,0.88025,0.62366,0.39031,0.09081,0.41474,2.35384,42,6.08400011062622,1.29121541976929,1.28464603424072,0.618784427642822,0.402264982461929,0.416608929634094,0.0656007081270218,2.00444889068604,Southeastern Asia,35,6.322,1.161,1.258,0.669,0.356,0.311,0.059,Southeastern Asia,80,5.339,1.221,1.171,0.828,0.508,0.26,0.024,Southeastern Asia,Southeast Asia,5.384300232,10.26251888,0.816509426,67.10215759,0.894626856,0.114726797,0.839302301,1.319420815,82,Southeast Asia,5.384,10.238,0.817,67.102,0.895,0.125,0.839,1.784,81,70,5.711,1.471,MYS
Croatia,Central and Eastern Europe,62,5.759,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444,2.75414,Central and Eastern Europe,74,5.488,1.18649,0.60809,0.70524,0.23907,0.04002,0.18434,2.52462,77,5.29300022125244,1.22255623340607,0.96798300743103,0.701288521289825,0.255772292613983,0.248002976179123,0.0431031100451946,1.85449242591858,Central and Eastern Europe,82,5.321,1.115,1.161,0.737,0.38,0.12,0.039,Central and Eastern Europe,75,5.432,1.155,1.266,0.914,0.296,0.119,0.022,Central and Eastern Europe,Central and Eastern Europe,5.504700184,10.07087517,0.874623716,70.21490479,0.714838803,-0.128538325,0.916495264,1.676029205,79,Central and Eastern Europe,5.882,10.217,0.924,70.799,0.754,-0.118,0.939,2.325,60,47,6.125,1.884,HRV
Russia,Central and Eastern Europe,64,5.716,1.13764,1.23617,0.66926,0.36679,0.03005,0.00199,2.27394,Central and Eastern Europe,56,5.856,1.23228,1.05261,0.58991,0.32682,0.03586,0.02736,2.59115,49,5.96299982070923,1.28177809715271,1.46928238868713,0.547349333763123,0.373783111572266,0.0522638224065304,0.0329628810286522,2.20560741424561,Central and Eastern Europe,59,5.81,1.151,1.479,0.599,0.399,0.065,0.025,Central and Eastern Europe,68,5.648,1.183,1.452,0.726,0.334,0.082,0.031,Central and Eastern Europe,Commonwealth of Independent States,5.546000004,10.12887192,0.903150737,64.10045624,0.729892612,-0.151153743,0.864802599,1.815716743,73,Commonwealth of Independent States,5.477,10.189,0.903,64.703,0.718,-0.111,0.845,2.148,76,80,5.459,1.494,RUS
Jamaica,Latin America and Caribbean,65,5.709,0.81038,1.15102,0.68741,0.50442,0.02299,0.2123,2.32038,Latin America and Caribbean,73,5.51,0.89333,0.96372,0.59469,0.43597,0.04294,0.22245,2.35682,76,5.31099987030029,0.925579309463501,1.36821806430817,0.641022384166718,0.474307239055634,0.233818337321281,0.0552677810192108,1.61232566833496,Latin America and Caribbean,56,5.89,0.819,1.493,0.693,0.575,0.096,0.031,Latin America and Caribbean,56,5.89,0.831,1.478,0.831,0.49,0.107,0.028,Latin America and Caribbean,Latin America and Caribbean,5.889800072,9.006250381,0.915701866,67.09999847,0.858068526,-0.125106767,0.888890028,2.214436531,60,Latin America and Caribbean,6.309,9.186,0.877,67.5,0.89,-0.137,0.884,3.135,37,63,5.85,2.164,JAM
Cyprus,Western Europe,67,5.689,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638,1.88931,Western Europe,69,5.546,1.31857,0.70697,0.8488,0.29507,0.05228,0.27906,2.04497,65,5.62099981307983,1.35593807697296,1.13136327266693,0.84471470117569,0.355111539363861,0.271254301071167,0.0412379764020443,1.62124919891357,Western Europe,61,5.762,1.229,1.191,0.909,0.423,0.202,0.035,Western Europe,49,6.046,1.263,1.223,1.042,0.406,0.19,0.041,Western Europe,Western Europe,6.15899992,10.40570259,0.805996239,73.70222473,0.779858291,0.043731496,0.856271744,2.032334805,45,Western Europe,6.223,10.576,0.802,73.898,0.763,-0.015,0.844,2.578,39,41,6.221,2.044,CYP
Algeria,Middle East and Northern Africa,68,5.605,0.93929,1.07772,0.61766,0.28579,0.17383,0.07822,2.43209,Middle East and Northern Africa,38,6.355,1.05266,0.83309,0.61804,0.21006,0.16157,0.07044,3.40904,53,5.87200021743774,1.09186446666718,1.1462174654007,0.617584645748138,0.233335807919502,0.0694366469979286,0.146096110343933,2.56760382652283,Middle East and Northern Africa,84,5.295,0.979,1.154,0.687,0.077,0.055,0.135,Middle East and Northern Africa,88,5.211,1.002,1.16,0.785,0.086,0.073,0.114,Middle East and Northern Africa,Middle East and North Africa,5.005099773,9.537964821,0.803385139,65.90517426,0.466610909,-0.121105164,0.735485137,1.840811729,100,Middle East and North Africa,4.887,9.342,0.802,66.005,0.48,-0.067,0.752,2.242,109,96,5.122,1.744,DZA
